env_steps,return,invalid_actions,length,FPS,time
0,0.3,0.02,100,0.0,0.0826
100,0.0,0.01,100,127.2866,0.7856
200,0.1,0.02,100,136.3343,0.7335
300,0.1,0.0,100,134.0813,0.7458
400,0.0,0.01,100,136.4374,0.7329
500,0.1,0.02,100,136.1512,0.7345
600,0.0,0.01,100,137.5541,0.727
700,0.1,0.01,100,137.2782,0.7285
800,0.0,0.0,100,133.6773,0.7481
900,0.1,0.01,100,139.884,0.7149
1000,0.4,0.01,100,0.0,0.0496
1100,0.0,0.0,100,136.4156,0.7331
1200,2.4,0.0,100,135.6041,0.7374
1300,1.2,0.01,100,134.6308,0.7428
1400,0.0,0.0,100,136.0372,0.7351
1500,0.4,0.0,100,138.1765,0.7237
1600,0.0,0.01,100,134.3913,0.7441
1700,0.4,0.0,100,137.2147,0.7288
1800,0.0,0.01,100,132.3807,0.7554
1900,0.0,0.0,100,137.381,0.7279
2000,0.2,0.02,100,0.0,0.0507
2100,0.1,0.0,100,137.3966,0.7278
2200,0.0,0.0,100,137.2654,0.7285
2300,0.0,0.01,100,137.6671,0.7264
2400,0.1,0.02,100,134.9883,0.7408
2500,1.3,0.0,100,136.7147,0.7315
2600,0.0,0.01,100,136.1641,0.7344
2700,0.0,0.0,100,136.2409,0.734
2800,0.0,0.02,100,137.4765,0.7274
2900,0.0,0.01,100,133.4096,0.7496
3000,0.0,0.0,100,0.0,0.0501
3100,0.0,0.01,100,135.1337,0.74
3200,0.0,0.03,100,136.6019,0.7321
3300,0.2,0.01,100,135.4083,0.7385
3400,0.0,0.0,100,134.3185,0.7445
3500,0.1,0.0,100,135.9065,0.7358
3600,0.0,0.01,100,135.7178,0.7368
3700,0.2,0.01,100,135.7383,0.7367
3800,0.0,0.01,100,136.2954,0.7337
3900,0.0,0.0,100,136.8165,0.7309
4000,0.0,0.01,100,0.0,0.0495
4100,0.0,0.02,100,135.7401,0.7367
4200,0.0,0.0,100,134.3319,0.7444
4300,0.1,0.01,100,135.3682,0.7387
4400,0.0,0.0,100,135.3894,0.7386
4500,0.1,0.0,100,134.114,0.7456
4600,0.1,0.0,100,135.5457,0.7378
4700,0.0,0.0,100,134.7204,0.7423
4800,0.0,0.0,100,134.6499,0.7427
4900,2.4,0.01,100,135.094,0.7402
